Input Size,k,Hybrid Merge Sort Time,Merge Sort Time,Insertion Sort Time
1,0,1.32500000000757e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,10,2.1292000000006083e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,20,2.062499999999634e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,30,2.0958000000015353e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,40,2.08339999999696e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,50,2.1375000000101175e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,60,2.141600000005184e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,70,2.1207999999939276e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,80,2.1292000000006083e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,90,2.1083000000032827e-07,1.2083000000107092e-07,1.1749999999977056e-07
1,100,1.795800000004011e-07,1.2083000000107092e-07,1.1749999999977056e-07
5,0,1.9504199999997862e-06,4.279580000000616e-06,8.933300000002475e-07
5,10,9.491600000000045e-07,4.279580000000616e-06,8.933300000002475e-07
5,20,9.524999999999118e-07,4.279580000000616e-06,8.933300000002475e-07
5,30,9.55410000000878e-07,4.279580000000616e-06,8.933300000002475e-07
5,40,9.5667000000077e-07,4.279580000000616e-06,8.933300000002475e-07
5,50,9.508300000005132e-07,4.279580000000616e-06,8.933300000002475e-07
5,60,9.554200000005952e-07,4.279580000000616e-06,8.933300000002475e-07
5,70,9.541699999993102e-07,4.279580000000616e-06,8.933300000002475e-07
5,80,9.508400000002304e-07,4.279580000000616e-06,8.933300000002475e-07
5,90,9.449999999999736e-07,4.279580000000616e-06,8.933300000002475e-07
5,100,9.454200000003077e-07,4.279580000000616e-06,8.933300000002475e-07
10,0,3.357079999999346e-06,9.5279199999998e-06,2.34207999999958e-06
10,10,2.439579999999886e-06,9.5279199999998e-06,2.34207999999958e-06
10,20,2.435000000000631e-06,9.5279199999998e-06,2.34207999999958e-06
10,30,2.431670000000441e-06,9.5279199999998e-06,2.34207999999958e-06
10,40,2.4258399999999013e-06,9.5279199999998e-06,2.34207999999958e-06
10,50,2.423750000000169e-06,9.5279199999998e-06,2.34207999999958e-06
10,60,2.42207999999966e-06,9.5279199999998e-06,2.34207999999958e-06
10,70,2.4362500000008057e-06,9.5279199999998e-06,2.34207999999958e-06
10,80,2.426249999999408e-06,9.5279199999998e-06,2.34207999999958e-06
10,90,2.610410000000174e-06,9.5279199999998e-06,2.34207999999958e-06
10,100,2.4379200000002042e-06,9.5279199999998e-06,2.34207999999958e-06
15,0,4.753330000000222e-06,1.528165999999942e-05,3.873329999999342e-06
15,10,4.669159999999284e-06,1.528165999999942e-05,3.873329999999342e-06
15,20,3.9545799999995965e-06,1.528165999999942e-05,3.873329999999342e-06
15,30,3.963750000000044e-06,1.528165999999942e-05,3.873329999999342e-06
15,40,3.960419999999853e-06,1.528165999999942e-05,3.873329999999342e-06
15,50,3.940420000000389e-06,1.528165999999942e-05,3.873329999999342e-06
15,60,4.048330000000488e-06,1.528165999999942e-05,3.873329999999342e-06
15,70,4.045409999999805e-06,1.528165999999942e-05,3.873329999999342e-06
15,80,4.00332999999975e-06,1.528165999999942e-05,3.873329999999342e-06
15,90,4.155409999999637e-06,1.528165999999942e-05,3.873329999999342e-06
15,100,3.987089999999416e-06,1.528165999999942e-05,3.873329999999342e-06
20,0,7.331659999999518e-06,2.1822080000000187e-05,6.535420000000069e-06
20,10,7.292500000000146e-06,2.1822080000000187e-05,6.535420000000069e-06
20,20,6.922080000000275e-06,2.1822080000000187e-05,6.535420000000069e-06
20,30,7.107080000000598e-06,2.1822080000000187e-05,6.535420000000069e-06
20,40,7.147079999999528e-06,2.1822080000000187e-05,6.535420000000069e-06
20,50,7.0770799999997356e-06,2.1822080000000187e-05,6.535420000000069e-06
20,60,6.611669999999625e-06,2.1822080000000187e-05,6.535420000000069e-06
20,70,6.562089999999632e-06,2.1822080000000187e-05,6.535420000000069e-06
20,80,6.557080000000326e-06,2.1822080000000187e-05,6.535420000000069e-06
20,90,6.545420000000357e-06,2.1822080000000187e-05,6.535420000000069e-06
20,100,6.5504199999999455e-06,2.1822080000000187e-05,6.535420000000069e-06
25,0,1.1022499999999714e-05,2.9630419999999714e-05,1.032959e-05
25,10,1.0499160000000396e-05,2.9630419999999714e-05,1.032959e-05
25,20,1.0587920000000305e-05,2.9630419999999714e-05,1.032959e-05
25,30,1.1176249999998999e-05,2.9630419999999714e-05,1.032959e-05
25,40,1.0890000000000067e-05,2.9630419999999714e-05,1.032959e-05
25,50,1.1081669999999377e-05,2.9630419999999714e-05,1.032959e-05
25,60,1.0978329999999925e-05,2.9630419999999714e-05,1.032959e-05
25,70,1.0857500000001075e-05,2.9630419999999714e-05,1.032959e-05
25,80,1.08512500000002e-05,2.9630419999999714e-05,1.032959e-05
25,90,1.101291999999976e-05,2.9630419999999714e-05,1.032959e-05
25,100,1.091249999999988e-05,2.9630419999999714e-05,1.032959e-05
30,0,1.355833000000084e-05,3.645416999999984e-05,1.6097500000000765e-05
30,10,1.3485409999999253e-05,3.645416999999984e-05,1.6097500000000765e-05
30,20,1.342666999999964e-05,3.645416999999984e-05,1.6097500000000765e-05
30,30,1.6301249999999267e-05,3.645416999999984e-05,1.6097500000000765e-05
30,40,1.6300000000000203e-05,3.645416999999984e-05,1.6097500000000765e-05
30,50,1.586708000000048e-05,3.645416999999984e-05,1.6097500000000765e-05
30,60,1.609208000000084e-05,3.645416999999984e-05,1.6097500000000765e-05
30,70,1.6267079999999767e-05,3.645416999999984e-05,1.6097500000000765e-05
30,80,1.6297499999999855e-05,3.645416999999984e-05,1.6097500000000765e-05
30,90,1.5946250000000718e-05,3.645416999999984e-05,1.6097500000000765e-05
30,100,1.5128340000000185e-05,3.645416999999984e-05,1.6097500000000765e-05
35,0,1.5445840000000156e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,10,1.5422079999999337e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,20,1.545291000000004e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,30,1.5070830000000202e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,40,1.735250000000077e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,50,1.7156249999999983e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,60,1.7473340000000448e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,70,1.7213329999999914e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,80,1.7207919999999712e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,90,1.7204170000000296e-05,4.1515840000000416e-05,1.7352919999999992e-05
35,100,1.7077909999999585e-05,4.1515840000000416e-05,1.7352919999999992e-05
40,0,2.122583999999983e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,10,2.0900830000000204e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,20,2.1273749999999315e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,30,2.1087499999999926e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,40,2.9461669999999442e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,50,2.9454590000000945e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,60,2.964042e-05,4.8444589999999674e-05,2.9682500000000057e-05
40,70,2.9603750000000152e-05,4.8444589999999674e-05,2.9682500000000057e-05
